,LM1,LM2,LM3,LM4,None
A1CF,0.1520714214063597,0.1996689738188384,0.0581302036312569,0.8532450596850235,0.07287591533754639
BOLL,0.8440674182386427,0.15308628195111063,0.007590132827324478,0.14638910592700077,0.060218774416787586
CELF1,0.8499349428943184,0.1273673557900824,0.017975037347597707,0.20948388029492557,0.06134644113536697
CNOT4,0.020981116994704768,0.3732640623438905,0.15965630932161057,0.012288939954041362,0.49415526026576084
CPEB1,0.6519774011299435,0.027118644067796606,0.002259887005649717,0.8429378531073446,0.036158192090395475
DAZ3,0.6873141083667399,0.16487779645674383,0.020755204965731282,0.19242208715892928,0.13442389758179232
DAZAP1,0.28467943691423025,0.6721556327246929,0.05619655726074456,0.4903102946118517,0.025764534558082225
EIF4G2,0.04126679462571977,0.1785028790786948,0.6247600767754319,0.1153230966090851,0.23864363403710812
ELAVL4,0.9541145010331834,0.042421295733560224,0.0023094688221709007,0.11772213443539566,0.005773672055427252
ESRP1,0.10664438765480637,0.8445056025162178,0.1155887556516611,0.13072537841556908,0.07086691566738745
EWSR1,0.0,0.019417475728155338,0.5145631067961165,0.17475728155339806,0.3398058252427184
FUBP1,0.5802347770774302,0.13999884346267277,0.06794656797548142,0.3286879084022437,0.1381483837390852
FUBP3,0.9390862944162438,0.025380710659898477,0.017766497461928935,0.6446700507614214,0.020304568527918784
FUS,0.14958245388639074,0.614389281453611,0.08892355694227769,0.13526658713407358,0.25640084426906484
HNRNPA0,0.4636060197927036,0.9632253908766175,0.024653042103413948,0.2053053815072905,0.006499970720852608
HNRNPA1,0.17010370723566576,0.9477887710096554,0.08719752056264156,0.1462629634044582,0.027297651686732625
HNRNPA2B1,0.1283912099837222,0.6625067824199674,0.10160065111231688,0.1414134563212154,0.21805480195333693
HNRNPC,0.9342783505154639,0.03994845360824742,0.001288659793814433,0.4574742268041237,0.0064432989690721655
HNRNPCL1,0.9709645669291339,0.025590551181102365,0.000984251968503937,0.11220472440944881,0.023622047244094488
HNRNPD,0.5650559346423432,0.2506614677621501,0.003945597177737548,0.5013693543146265,0.05700227452072598
HNRNPDL,0.42184760620364126,0.2027421892560126,0.008091706001348618,0.7919982018431108,0.02652281411553158
HNRNPF,0.1127475876079228,0.925723717623159,0.09395632300660235,0.1132554596241747,0.045454545454545456
HNRNPH2,0.0599437351222679,0.9857173771910841,0.0443626920579961,0.07790521532135901,0.011902185674096514
HNRNPK,0.013574660633484162,0.10321051497522085,0.5336134453781513,0.050527903469079934,0.3742727860374919
HNRNPL,0.24081274300765085,0.3687445127304653,0.038504954220494166,0.17810109118274176,0.258622852125925
IGF2BP1,0.090741695514473,0.4081166678942329,0.035353907343301176,0.271635854754364,0.2837887604036238
IGF2BP2,0.3518215977781408,0.18763273974840713,0.02589446168926646,0.307384414311387,0.27569024669171704
ILF2,0.2072490123534207,0.5976672728412867,0.05267448422900859,0.41826048786605624,0.0559352856336615
KHDRBS2,0.11894142134998513,0.06492219248686688,0.015115472296560609,0.9997522053721876,0.0
KHDRBS3,0.9242761692650333,0.04899777282850779,0.0022271714922048997,0.16035634743875277,0.0
KHSRP,0.4193316994440791,0.26923306832446653,0.03819714268635304,0.20449518799689162,0.266064917209636
MBNL1,0.4736842105263159,0.10526315789473685,0.2736842105263158,0.0,0.2736842105263158
MSI1,0.37608983748343455,0.9992327544116621,0.018413894120108812,0.23889237636883587,0.0004184975936388366
NOVA1,0.3231853417899929,0.2372093023255814,0.05990133897110641,0.12713178294573643,0.35137420718816065
NUPL2,0.021649724528594705,0.09769535190502056,0.5179638395282067,0.22029952665476837,0.32086598898114377
PABPN1L,0.3833350352292454,0.10992545695905238,0.06902889819258654,0.5236393342183192,0.1162054528745022
PCBP1,0.003378378378378378,0.20270270270270271,0.44932432432432434,0.006756756756756756,0.3952702702702703
PCBP2,0.14123491838183108,0.3710078069552874,0.06068133427963094,0.02572746628814762,0.4639815471965933
PCBP4,0.19753086419753085,0.16049382716049382,0.1728395061728395,0.08641975308641975,0.49382716049382713
PRR3,0.13005464480874318,0.17563484410157507,0.03252973320475731,0.8712954034072646,0.021279331404693028
PTBP3,0.8195808570534877,0.08595558335939944,0.010572411635908665,0.10584923365655302,0.11010322177040975
PUF60,0.8087591240875912,0.004379562043795621,0.06715328467153285,0.010218978102189781,0.15036496350364964
PUM1,0.38586956521739124,0.47282608695652173,0.19565217391304346,0.14130434782608695,0.17391304347826086
RALY,0.9225281350482315,0.1045016077170418,0.005928456591639872,0.24738745980707397,0.03627411575562701
RBFOX2,0.1509433962264151,0.4968553459119497,0.07389937106918239,0.12106918238993711,0.29088050314465413
RBFOX3,0.043230649754077144,0.3209940460781776,0.09655707998964536,0.18017085166968677,0.44421434118560704
RBM15B,0.8298480173694434,0.08604730887898526,0.0009141812364301222,0.4047537424294366,0.013769854873728716
RBM22,0.2162162162162162,0.0,0.5405405405405406,0.09459459459459459,0.2702702702702703
RBM23,0.0,0.06896551724137931,0.28735632183908044,0.1839080459770115,0.5632183908045977
RBM24,0.8245651554034786,0.13986313088109495,0.0037068719703450244,0.17244083262047333,0.08739663530082692
RBM25,0.0517651930841702,0.8655140283673257,0.10632570659488559,0.06325706594885598,0.09545501604720986
RBM4,0.0163998821565354,0.48315820485122263,0.2867524305214573,0.02464892467838554,0.2793872139840911
RBM41,0.06606217616580312,0.13629821531375938,0.37751871042026486,0.048359240069084625,0.4404145077720208
RBM45,0.012070006035003019,0.06457453228726616,0.6780325890162946,0.20187085093542545,0.23717561858780933
RBM47,0.3254583487141626,0.0853943644641319,0.0067675649070997905,0.8116156023132767,0.09880644764365695
RBM4B,0.019383019383019385,0.16543816543816545,0.6401856401856402,0.05733005733005733,0.2702702702702703
RBM6,0.019200316706254945,0.10827395091053048,0.37440617577197144,0.04018210609659541,0.5061361836896279
RBMS2,0.44574290484140233,0.14023372287145242,0.028380634390651086,0.2954924874791319,0.21368948247078465
RBMS3,0.5772515221001028,0.31351308610737727,0.012651221633588994,0.35285047837431804,0.07918874041274611
RC3H1,0.4395129615082482,0.3805970149253731,0.04228855721393035,0.4390547263681591,0.08503534956794971
SF1,0.25235457063711914,0.03518005540166205,0.022437673130193906,0.9997229916897507,0.0
SFPQ,0.4258521469676848,0.3405425915386075,0.06393473724151015,0.41225573894896606,0.18554354012521346
SNRPA,0.024880889359449442,0.18369507676019056,0.14981471678136582,0.017469560614081527,0.6506087877183696
SRSF10,0.05815858453473132,0.43889252948885976,0.2767038007863696,0.06847968545216251,0.2971821756225426
SRSF11,0.019434079601990048,0.30768034825870644,0.47652363184079605,0.1572605721393035,0.2622823383084577
SRSF2,0.020203627107858734,0.08343938911867642,0.5913935730194082,0.07301940820871779,0.3396436525612472
SRSF4,0.01841993185689949,0.2622444633730835,0.4711456558773425,0.05366269165247019,0.31793015332197616
SRSF5,0.13698094772838298,0.4447484123106986,0.14518808011724474,0.16658524670249145,0.29477283829995116
SRSF8,0.029366005445352002,0.21227148969272655,0.529171528588098,0.09636328276935044,0.2909373784519642
SRSF9,0.011030570438071227,0.3746191826872571,0.5510032566446055,0.09171131421367791,0.19770984347095283
TAF15,0.016542597187758478,0.07940446650124068,0.8784119106699751,0.16129032258064516,0.0827129859387924
TARDBP,0.254200146092038,0.37640613586559535,0.18466033601168738,0.3329437545653762,0.19225712198685174
TIA1,0.9249356308179837,0.07268766092295503,0.0006601967386281111,0.2644748134944213,0.021984551396316103
TRA2A,0.02204917315600665,0.0989587890454108,0.7345349549391897,0.31726310263365126,0.14401959926502758
TRNAU1AP,0.8173634317670327,0.09159107958807886,0.005865102639296188,0.2483120780195049,0.06349314601377617
UNK,0.83206106870229,1.0,0.015267175572519083,0.3053435114503817,0.0
ZCRB1,0.37763476157567377,0.09295093296475467,0.010495853489979268,0.9497667588113339,0.021034899792674498
ZFP36,0.8488087965791081,0.04978619425778864,0.0021380574221136223,0.31154551007941356,0.020464263897373245
ZNF326,0.029286222433009247,0.1631491581693147,0.6267488736068295,0.11299502015650938,0.24187811240218166
